media_id,media_type,user_id,liked_date
4f81266d-8862-4137-872c-12e672919018,VIDEO,73f8f843-0af1-4bca-b6c4-be163c2f299d,2022-07-30 21:40:41.761000
f724d4c4-5003-4b90-8026-a1d2cf6a7974,SHORT_VIDEO,9651d425-a857-4896-b39c-e2523b45588c,2022-07-30 21:37:51.638000
897e89b6-5ee4-4d5a-b093-a541d279b9d3,VIDEO,982472af-02dc-44c4-a4b0-3d8423cc9a5c,2022-07-31 16:30:39.653000
ff83b0f1-2b66-411c-8edb-e28531e37c92,SHORT_VIDEO,20807b4a-dda2-4cf5-99b8-17c16cb2b359,2022-07-31 17:12:27.486000
55602748-ec9a-41a7-ace4-3305a781458d,VIDEO,8272b4ba-326c-4a6f-9552-236d8ae9357b,2022-08-01 01:01:59.285000
40bd758d-e6c4-4f81-a80e-39d212687857,VIDEO,a955df59-fb33-42a2-ad43-27288900ab09,2022-08-03 10:47:26.017000
b03f5580-3d41-49a4-bd63-108c5b6b94bc,AUDIO,36823f2b-1937-4ea8-837f-21c1dc92a4ca,2022-08-03 20:27:51.830000
89dad75c-1bc0-454c-9008-57fb302add3e,VIDEO,3d95346d-8cf5-42a0-bee2-9cf09c065ac5,2022-08-03 21:47:47.190000
d1e2b5ef-b8c0-4adf-8d67-29be66c05a2a,VIDEO,5033559b-f94b-45b6-9d73-b56134ea9be4,2022-08-04 07:05:22.641000
7faf54be-29fc-4435-906f-7448df6042b9,SHORT_VIDEO,0b1e150f-174f-4466-87b5-57eae34ff742,2022-08-04 21:17:24.351000
84ef809b-eb9b-441e-ae75-b7a93527c78c,SHORT_VIDEO,ad5a18b9-8c4d-406d-b16f-4a185a1fab3c,2022-08-04 22:03:44.868000
d11402a4-bb81-4b42-9eaa-e0249253a9bc,VIDEO,8e12f84f-89c1-4bb4-a441-12b2e6b06cf0,2022-08-04 23:44:04.533000
6445323a-25c1-48ec-aec2-2a846b44216a,VIDEO,4bc935e3-d370-4f06-b30b-2c4625db95fa,2022-08-04 23:49:18.140000
eb6e2c78-161c-4aaf-a3d3-fd0c528beed7,SHORT_VIDEO,b125ed6f-6ba6-436a-ae5e-1ef75ce89a50,2022-08-05 00:45:14.619000
ff3603bd-9518-46a8-a833-52f93ce91588,SHORT_VIDEO,4bc935e3-d370-4f06-b30b-2c4625db95fa,2022-08-05 01:05:44.844000
6d04959d-575b-44ed-afb7-f292ca4963c6,SHORT_VIDEO,a453610c-0783-4c05-aa4c-5103e96ed3fd,2022-08-05 03:08:44.484000
65af3b14-0119-47b7-bd89-52bdbcee3ca3,VIDEO,bf50e060-6545-4344-b50e-86acfd108a59,2022-08-05 17:25:28.533000
5dbcad15-a811-4923-9f76-b9c56fddc10a,SHORT_VIDEO,c2c0b68c-91d0-4bc1-ab6a-f047eadc2087,2022-08-05 17:28:58.125000
84ef809b-eb9b-441e-ae75-b7a93527c78c,SHORT_VIDEO,52e9a89b-3c36-49d0-bd64-97112aaec963,2022-08-05 19:18:50.370000
21d3f3cc-ef64-470a-b2ad-99186f6b82fe,SHORT_VIDEO,ca7c7bc5-4812-4ffe-95cc-0dfb1e7dd704,2022-08-05 20:04:31.255000
58dc2246-0c88-4c51-99c3-96cee975859c,SHORT_VIDEO,09863590-3ab3-480b-ac4a-2726faaa93a5,2022-08-05 21:53:04.970000
9017cae3-f7f2-4eaa-854a-a4da55cbbd7e,SHORT_VIDEO,f912b340-79ea-4435-bf31-5202af866513,2022-08-05 23:02:47.897000
a40297f9-5bdc-4e19-a810-82e3d9b3afab,VIDEO,20d87339-27af-4581-84d2-f1c573e14dc9,2022-08-06 06:51:35.878000
5dbcad15-a811-4923-9f76-b9c56fddc10a,SHORT_VIDEO,6e97d9c9-2ad2-42db-8c4c-dd9b2e6e5b23,2022-08-06 01:45:07.839000
